config,penalizer,mean_val_ci,std_val_ci,mean_test_ci,std_test_ci,total_variance
cnn_4stat_only,0.1,0.6135944073864297,0.10017735097826713,0.6227516678898845,0.11997506104168698,0.2201524120199541
cnn_4stat_only,0.5,0.6364586106318064,0.12156809911912272,0.6325496268495368,0.1295521799862385,0.2511202791053612
cnn_4stat_only,1.0,0.6305425735778843,0.1356238541135916,0.64573137993964,0.12759058652315092,0.2632144406367425
cnn_4stat_only,2.0,0.6331022177005808,0.13844304082518577,0.6436079621302526,0.12405442411718845,0.26249746494237425
cnn_4stat_only,5.0,0.6278869499264207,0.147720855432683,0.647870452217485,0.11916432488657372,0.26688518031925673
cnn_4stat_only,10.0,0.6279177309960629,0.14960535846909637,0.6517022193920129,0.11968876676397669,0.26929412523307306
cnn_4stat_only,15.0,0.6261786005612803,0.15077444314660624,0.6479286344863524,0.12460851925991369,0.27538296240651994
cnn_4stat_only,20.0,0.6261786005612803,0.15077444314660624,0.6479286344863524,0.12460851925991369,0.27538296240651994
cnn_4stat_only,30.0,0.6282404562313834,0.1510083844160517,0.6479286344863524,0.12460851925991369,0.27561690367596536
cnn_4stat_sex,0.1,0.6093339250255875,0.09824265607460057,0.6084084293661919,0.11048102062567505,0.20872367670027564
cnn_4stat_sex,0.5,0.6187146920108051,0.09823695664312786,0.6200652631687786,0.12593819685658314,0.224175153499711
cnn_4stat_sex,1.0,0.6188589741584358,0.09703629346970877,0.6277068997192137,0.127323333092029,0.22435962656173777
cnn_4stat_sex,2.0,0.6250753222383872,0.09951465190266809,0.6219794568208342,0.12675889053542921,0.2262735424380973
cnn_4stat_sex,5.0,0.6217468469170574,0.10453460210916903,0.6240105314212951,0.12499277100134179,0.2295273731105108
cnn_4stat_sex,10.0,0.6218637278654627,0.10060239001996797,0.6260997882906235,0.12923209104663907,0.22983448106660703
cnn_4stat_sex,15.0,0.6164986745430674,0.1061929719607852,0.6242129958377933,0.13192657314821346,0.23811954510899866
cnn_4stat_sex,20.0,0.6204473226660007,0.10415136156264894,0.6242129958377933,0.13192657314821346,0.2360779347108624
cnn_4stat_sex,30.0,0.6204473226660007,0.10415136156264894,0.6242129958377933,0.13192657314821346,0.2360779347108624
cnn_4stat_hand_all_sex,0.1,0.6487627766951544,0.03690048884367128,0.6329281193998119,0.08866580088048182,0.1255662897241531
cnn_4stat_hand_all_sex,0.5,0.6011835659621395,0.028590896489259273,0.640998810459247,0.12618735629090205,0.15477825278016133
cnn_4stat_hand_all_sex,1.0,0.6017012444869634,0.02534823926648935,0.6211467164338405,0.11768011719866206,0.1430283564651514
cnn_4stat_hand_all_sex,2.0,0.6051022887487869,0.03389605196044528,0.6100412056854662,0.12670804571465621,0.1606040976751015
cnn_4stat_hand_all_sex,5.0,0.5941102790784012,0.034628615220614674,0.5988746127661196,0.1288068512285825,0.16343546644919715
cnn_4stat_hand_all_sex,10.0,0.5904843561907883,0.036871425243828505,0.5898439722154479,0.13103780245179383,0.16790922769562233
cnn_4stat_hand_all_sex,15.0,0.5884225005206852,0.03893352894646586,0.589982750962474,0.12681728750577817,0.16575081645224404
cnn_4stat_hand_all_sex,20.0,0.586535708067855,0.04018121985887363,0.5898439722154479,0.13103780245179383,0.17121902231066746
cnn_4stat_hand_all_sex,30.0,0.5846181345453828,0.0401620076057473,0.5896689089981749,0.12975547235067178,0.1699174799564191
