fold,split,n_total,n_progression,n_no_progression,pct_progression
fold_0,train,49,16,33,32.6530612244898
fold_0,val,17,6,11,35.294117647058826
fold_0,test,18,6,12,33.33333333333333
fold_1,train,50,16,34,32.0
fold_1,val,17,6,11,35.294117647058826
fold_1,test,17,6,11,35.294117647058826
fold_2,train,51,17,34,33.33333333333333
fold_2,val,16,5,11,31.25
fold_2,test,17,6,11,35.294117647058826
fold_3,train,52,18,34,34.61538461538461
fold_3,val,16,5,11,31.25
fold_3,test,16,5,11,31.25
fold_4,train,50,17,33,34.0
fold_4,val,18,6,12,33.33333333333333
fold_4,test,16,5,11,31.25
