fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold,repeat_idx,original_fold_idx
rep0_fold0,0.8181818181818182,0.7222222222222222,0.3333333333333333,0.3125,0.8333333333333334,0.08333333333333333,0.45454545454545453,0.3216069868177782,0,0
rep0_fold1,0.5909090909090908,0.5606060606060606,0.4117647058823529,0.3333333333333333,0.6666666666666666,0.2727272727272727,0.4444444444444444,0.27070517023990487,0,1
rep0_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,0,2
rep0_fold3,0.6363636363636365,0.7727272727272727,0.6875,0.5,0.8,0.6363636363636364,0.6153846153846154,0.3435018235076821,0,3
rep0_fold4,0.763888888888889,0.509090909090909,0.625,0.0,0.0,0.9090909090909091,0.0,0.3878976749230847,0,4
rep1_fold0,0.8181818181818182,0.7222222222222222,0.3333333333333333,0.3125,0.8333333333333334,0.08333333333333333,0.45454545454545453,0.3216069868177782,1,0
rep1_fold1,0.5909090909090908,0.5606060606060606,0.4117647058823529,0.3333333333333333,0.6666666666666666,0.2727272727272727,0.4444444444444444,0.27070517023990487,1,1
rep1_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,1,2
rep1_fold3,0.6363636363636365,0.7727272727272727,0.6875,0.5,0.8,0.6363636363636364,0.6153846153846154,0.3435018235076821,1,3
rep1_fold4,0.763888888888889,0.509090909090909,0.625,0.0,0.0,0.9090909090909091,0.0,0.3878976749230847,1,4
rep2_fold0,0.8181818181818182,0.7222222222222222,0.3333333333333333,0.3125,0.8333333333333334,0.08333333333333333,0.45454545454545453,0.3216069868177782,2,0
rep2_fold1,0.5909090909090908,0.5606060606060606,0.4117647058823529,0.3333333333333333,0.6666666666666666,0.2727272727272727,0.4444444444444444,0.27070517023990487,2,1
rep2_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,2,2
rep2_fold3,0.6363636363636365,0.7727272727272727,0.6875,0.5,0.8,0.6363636363636364,0.6153846153846154,0.3435018235076821,2,3
rep2_fold4,0.763888888888889,0.509090909090909,0.625,0.0,0.0,0.9090909090909091,0.0,0.3878976749230847,2,4
rep3_fold0,0.8181818181818182,0.7222222222222222,0.3333333333333333,0.3125,0.8333333333333334,0.08333333333333333,0.45454545454545453,0.3216069868177782,3,0
rep3_fold1,0.5909090909090908,0.5606060606060606,0.4117647058823529,0.3333333333333333,0.6666666666666666,0.2727272727272727,0.4444444444444444,0.27070517023990487,3,1
rep3_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,3,2
rep3_fold3,0.6363636363636365,0.7727272727272727,0.6875,0.5,0.8,0.6363636363636364,0.6153846153846154,0.3435018235076821,3,3
rep3_fold4,0.763888888888889,0.509090909090909,0.625,0.0,0.0,0.9090909090909091,0.0,0.3878976749230847,3,4
rep4_fold0,0.8181818181818182,0.7222222222222222,0.3333333333333333,0.3125,0.8333333333333334,0.08333333333333333,0.45454545454545453,0.3216069868177782,4,0
rep4_fold1,0.5909090909090908,0.5606060606060606,0.4117647058823529,0.3333333333333333,0.6666666666666666,0.2727272727272727,0.4444444444444444,0.27070517023990487,4,1
rep4_fold2,0.7181818181818183,0.6136363636363635,0.6470588235294118,0.5,0.5,0.7272727272727273,0.5,0.3371120377810401,4,2
rep4_fold3,0.6363636363636365,0.7727272727272727,0.6875,0.5,0.8,0.6363636363636364,0.6153846153846154,0.3435018235076821,4,3
rep4_fold4,0.763888888888889,0.509090909090909,0.625,0.0,0.0,0.9090909090909091,0.0,0.3878976749230847,4,4
