config,model,test_auc,test_auc,test_f1,test_f1,n_features
,,mean,std,mean,std,first
cnn_max_hand_demo,RandomForest,0.5019527789552536,0.19541777310738018,0.17845571218177994,0.24436880110541614,2060
cnn_max_hand_demo,XGBoost,0.501139278731926,0.2112912454551725,0.29950475791489617,0.19277410661424316,2060
cnn_only_max,RandomForest,0.5614724164724165,0.12749822891258136,0.22309941520467835,0.2170538167331666,2048
cnn_only_max,XGBoost,0.4941375291375292,0.22341297549918535,0.29602240896358545,0.2007333024686202,2048
cnn_only_mean,RandomForest,0.563997668997669,0.11802851972063684,0.17777777777777776,0.24343224778007383,2048
cnn_only_mean,XGBoost,0.5471406371406371,0.16185239425487147,0.40146542827657383,0.06536714238179367,2048
hand_demo,RandomForest,0.5310222898704351,0.19774631043520322,0.21236480462351545,0.22498260900946365,12
hand_demo,XGBoost,0.5244664835886136,0.25245626332493504,0.1094198911913931,0.1498431288774199,12
