epoch,pred_mean,pred_std,pred_min,pred_max,pred_q25,pred_q75,true_mean,true_std,correlation,residual_mean,residual_std,mode_collapse_score
5,-4.7804656,0.094246194,-4.8972454,-4.3951273,-4.8452387,-4.752733,-5.4550805,5.9656,0.09789268274810872,0.6746153,5.9571123,0.015798276
10,-5.572726,0.26561636,-5.760042,-4.4730577,-5.730155,-5.5504065,-5.4550805,5.9656,0.15715679759081488,-0.11764567,5.9296613,0.044524666
15,-5.5911765,0.824521,-6.1169906,-2.0586555,-6.0549827,-5.4011087,-5.4550805,5.9656,0.42591169623625286,-0.13609584,5.6637707,0.13821259
20,-5.648562,1.0310836,-6.461476,-0.96308315,-6.3954506,-5.193962,-5.4550805,5.9656,0.3721527935246931,-0.19348109,5.6633263,0.1728382
25,-6.2979913,0.71780896,-6.7965465,-3.4859462,-6.7723436,-6.144112,-5.4550805,5.9656,0.29115874261373753,-0.84291065,5.7974176,0.120324686
30,-6.490856,0.6590102,-7.006937,-4.389522,-6.9602356,-6.2985563,-5.4550805,5.9656,0.4430171094493625,-1.0357755,5.704325,0.11046838
35,-6.8017297,0.57680255,-7.157357,-4.7925825,-7.1368814,-6.7746696,-5.4550805,5.9656,0.27493385116324176,-1.3466498,5.8334384,0.09668811
40,-6.484929,1.0431358,-7.187626,-2.3870835,-7.15679,-6.1641645,-5.4550805,5.9656,0.25477619202889445,-1.0298488,5.7884026,0.17485848
45,-6.9024844,0.59069407,-7.208343,-4.39937,-7.2003403,-6.8671265,-5.4550805,5.9656,0.20046021930250563,-1.4474045,5.8757567,0.0990167
